"","sex","age","suicides.100k.pop"
"24315","female","15-24 years",21.82
"24316","female","35-54 years",20.86
"24317","female","25-34 years",18.02
"24318","female","55-74 years",9.97
"24319","female","5-14 years",8.2
"24320","male","5-14 years",3.83
"24645","male","75+ years",31.66
"24646","male","55-74 years",25.18
"24647","male","35-54 years",21.98
"24648","male","25-34 years",17.87
"24649","male","15-24 years",13.61
"24650","female","55-74 years",9.87
"24651","female","35-54 years",8.1
"24652","female","75+ years",7.08
"24653","female","25-34 years",5.49
"24654","female","15-24 years",5.1
"24655","female","5-14 years",0.41
"24656","male","5-14 years",0.19
"24907","male","75+ years",47.5
"24908","male","55-74 years",27.62
"24909","male","35-54 years",22
"24910","male","25-34 years",14.25
"24911","female","55-74 years",11.42
"24912","male","15-24 years",9.94
"24913","female","75+ years",9.21
"24914","female","35-54 years",8.63
"24915","female","25-34 years",6.16
"24916","female","15-24 years",3.3
"24917","male","5-14 years",0.49
"24918","female","5-14 years",0
"25231","male","75+ years",18.41
"25232","male","25-34 years",13
"25233","male","55-74 years",12.54
"25234","male","35-54 years",11.91
"25235","male","15-24 years",7.89
"25236","female","75+ years",3.58
"25237","female","55-74 years",3.47
"25238","female","35-54 years",3.33
"25239","female","25-34 years",3.13
"25240","female","15-24 years",2.55
"25241","male","5-14 years",0.36
"25242","female","5-14 years",0.33
"25613","male","25-34 years",32.57
"25614","male","75+ years",27.32
"25615","male","35-54 years",26.49
"25616","male","55-74 years",22.26
"25617","male","15-24 years",15.32
"25618","female","15-24 years",8.29
"25619","female","25-34 years",7.74
"25620","female","35-54 years",4.36
"25621","female","55-74 years",3.9
"25622","female","5-14 years",1.14
"25623","male","5-14 years",1.11
"25624","female","75+ years",0
"25649","male","75+ years",7.49
"25650","male","35-54 years",4.26
"25651","male","55-74 years",4.24
"25652","male","25-34 years",3.9
"25653","male","15-24 years",3.71
"25654","female","75+ years",2.28
"25655","female","15-24 years",1.55
"25656","female","55-74 years",1.26
"25657","female","35-54 years",1.2
"25658","female","25-34 years",0.99
"25659","male","5-14 years",0.41
"25660","female","5-14 years",0.4
"25997","male","25-34 years",9.53
"25998","male","15-24 years",7.57
"25999","male","75+ years",6.78
"26000","male","35-54 years",6.26
"26001","male","55-74 years",5.59
"26002","female","15-24 years",4.02
"26003","female","25-34 years",2.12
"26004","female","35-54 years",1.5
"26005","female","5-14 years",1.05
"26006","female","55-74 years",0.92
"26007","male","5-14 years",0.41
"26008","female","75+ years",0
"26345","male","75+ years",61.51
"26346","male","55-74 years",47.26
"26347","male","35-54 years",45.99
"26348","male","25-34 years",40.59
"26349","male","15-24 years",25.77
"26350","female","75+ years",15.02
"26351","female","55-74 years",8.17
"26352","female","35-54 years",6.61
"26353","female","15-24 years",4.93
"26354","female","25-34 years",4.81
"26355","male","5-14 years",1.66
"26356","female","5-14 years",0.75
"26465","male","75+ years",9.46
"26466","male","55-74 years",2.82
"26467","female","25-34 years",2.38
"26468","female","55-74 years",1.8
"26469","male","25-34 years",1.72
"26470","female","15-24 years",1.56
"26471","male","35-54 years",1.41
"26472","male","15-24 years",1.37
"26473","female","35-54 years",0.19
"26474","female","5-14 years",0
"26475","female","75+ years",0
"26476","male","5-14 years",0
"26777","male","35-54 years",16.8
"26778","male","25-34 years",12.43
"26779","male","75+ years",11.58
"26780","male","55-74 years",11.28
"26781","male","15-24 years",8.14
"26782","female","35-54 years",4.55
"26783","female","55-74 years",3.53
"26784","female","25-34 years",3.31
"26785","female","75+ years",3.02
"26786","female","15-24 years",2.65
"26787","female","5-14 years",0.09
"26788","male","5-14 years",0.03
"27149","male","75+ years",36.03
"27150","male","35-54 years",27.49
"27151","male","55-74 years",26.34
"27152","male","25-34 years",22.76
"27153","male","15-24 years",16.79
"27154","female","35-54 years",8.44
"27155","female","55-74 years",6.83
"27156","female","25-34 years",5.41
"27157","female","15-24 years",3.88
"27158","female","75+ years",3.61
"27159","male","5-14 years",0.88
"27160","female","5-14 years",0.43
"27497","male","75+ years",87.16
"27498","male","55-74 years",41.26
"27499","male","25-34 years",32.49
"27500","male","15-24 years",26.28
"27501","male","35-54 years",24.86
"27502","female","55-74 years",13.61
"27503","female","75+ years",9.31
"27504","female","35-54 years",8.89
"27505","female","25-34 years",7.65
"27506","female","15-24 years",4.34
"27507","female","5-14 years",1.2
"27508","male","5-14 years",0.38
"27761","male","35-54 years",11.81
"27762","male","25-34 years",9.89
"27763","male","55-74 years",9.84
"27764","male","15-24 years",7.67
"27765","female","15-24 years",6.71
"27766","male","75+ years",4.59
"27767","female","25-34 years",3.89
"27768","female","35-54 years",3.02
"27769","male","5-14 years",1.74
"27770","female","75+ years",1.55
"27771","female","55-74 years",1.38
"27772","female","5-14 years",1.14
